"수요처별(1)",2019,2019,2019,2019,2020 p),2020 p),2020 p),2020 p)
"수요처별(1)",전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업
"전체",168582,20805,65412,82364,192736,24623,74361,93752
"공공",24805,4337,14743,5726,28989,5244,16728,7017
"금융",24607,2581,8624,13402,27975,3032,9826,15116
"제조·건설",26656,3898,14661,8096,29774,4357,16591,8825
"유통·서비스",36229,3344,13016,19869,41388,4037,15250,22100
"의료",4445,585,2195,1665,4856,731,2252,1873
"통신·미디어",20834,2862,5030,12942,24069,3385,5701,14983
"교육",7718,453,2231,5033,8551,518,2411,5623
"기타",23288,2745,4913,15630,27134,3318,5602,18214
