"중분류별(1)","영역별(1)",2015,2016,2017,2018,2019,2020 p)
"전체","계",14124,15720,16457,18617,20805,24623
"전체","라이선스",3941,4372,6592,2682,2233,2611
"전체","개발",6576,7118,5489,8492,11035,13163
"전체","유지보수",3607,4230,4375,7441,7537,8850
"데이터 수집·연계 솔루션 개발·공급업","계",1115,1345,1393,1622,1871,2256
"데이터 수집·연계 솔루션 개발·공급업","라이선스",225,277,306,197,177,207
"데이터 수집·연계 솔루션 개발·공급업","개발",523,681,697,885,1125,1365
"데이터 수집·연계 솔루션 개발·공급업","유지보수",367,387,390,540,569,684
"데이터베이스 관리 시스템 솔루션 개발·공급업","계",5727,6148,6121,6775,7510,8835
"데이터베이스 관리 시스템 솔루션 개발·공급업","라이선스",2712,2880,3489,1639,837,1005
"데이터베이스 관리 시스템 솔루션 개발·공급업","개발",2101,2184,1102,2326,3978,4577
"데이터베이스 관리 시스템 솔루션 개발·공급업","유지보수",914,1084,1530,2811,2695,3254
"데이터 분석 솔루션 개발·공급업","계",1157,1249,1325,1782,2014,2779
"데이터 분석 솔루션 개발·공급업","라이선스",116,190,212,166,183,251
"데이터 분석 솔루션 개발·공급업","개발",846,830,861,1025,1192,1635
"데이터 분석 솔루션 개발·공급업","유지보수",195,229,252,590,640,892
"데이터 관리 솔루션 개발·공급업","계",4699,5367,4628,4972,5203,5555
"데이터 관리 솔루션 개발·공급업","라이선스",527,673,1388,550,616,611
"데이터 관리 솔루션 개발·공급업","개발",2283,2465,1666,2386,2506,2785
"데이터 관리 솔루션 개발·공급업","유지보수",1889,2229,1574,2036,2082,2159
"데이터 보안 솔루션 개발·공급업","계",-,-,1213,1517,1975,2495
"데이터 보안 솔루션 개발·공급업","라이선스",-,-,789,96,212,303
"데이터 보안 솔루션 개발·공급업","개발",-,-,133,765,1006,1275
"데이터 보안 솔루션 개발·공급업","유지보수",-,-,291,656,757,917
"빅데이터 통합 플랫폼 솔루션 개발·공급업","계",1426,1611,1776,1949,2231,2704
"빅데이터 통합 플랫폼 솔루션 개발·공급업","라이선스",361,352,408,34,209,235
"빅데이터 통합 플랫폼 솔루션 개발·공급업","개발",823,958,1030,1107,1228,1526
"빅데이터 통합 플랫폼 솔루션 개발·공급업","유지보수",242,301,338,808,794,944
